DRUG	ENTREZ	NAME	DESC
1na	6401	SELE	selectin E (endothelial adhesion molecule 1)
1na	6403	SELP	selectin P (granule membrane protein 140kDa, antigen CD62)
1-n-acetyl-beta-d-glucosamine	5836	PYGL	phosphorylase, glycogen; liver (Hers disease, glycogen storage disease type VI)
1-octadecyl-2-acetamido-2-deoxy-sn-glycerol-3-phosphoethylmethyl sulfide	5320	PLA2G2A	phospholipase A2, group IIA (platelets, synovial fluid)
(1'r,2's)-9-(2-hydroxy-3'-keto-cyclopenten-1-yl)adenine	191	AHCY	S-adenosylhomocysteine hydrolase
(1s)-1-(9-deazaadenin-9-yl)-1,4,5-trideoxy-1,4-imino-5-methylthio-d-ribitol	4507	MTAP	methylthioadenosine phosphorylase
1-(s-glutathionyl)-2,4-dinitrobenzene	2950	GSTP1	glutathione S-transferase pi
1-ter-butyl-3-p-tolyl-1h-pyrazolo[3,4-d]pyrimidin-4-ylamine	3055	HCK	hemopoietic cell kinase
1-tert-butyl-3-(4-chloro-phenyl)-1h-pyrazolo[3,4-d]pyrimidin-4-ylamine	3932	LCK	lymphocyte-specific protein tyrosine kinase
2-(1,1-dimethylethyl)9-fluoro-3,6-dihydro-7h-benz[h]-imidaz[4,5-f]isoquinolin-7-one	3717	JAK2	Janus kinase 2 (a protein tyrosine kinase)
{[2-(1h-1,2,3-benzotriazol-1-yl)-2-(3,4-difluorophenyl)propane-1,3-diyl]bis[4,1-phenylene(difluoromethylene)]}bis(phosphonic acid)	5770	PTPN1	protein tyrosine phosphatase, non-receptor type 1
2-[2-(1,3-dioxo-1,3-dihydro-2h-isoindol-2-yl)ethyl]-4-(4'-ethoxy-1,1'-biphenyl-4-yl)-4-oxobutanoic acid	4321	MMP12	matrix metalloproteinase 12 (macrophage elastase)
2-(2-{2-[2-(2-{2-[2-(2-ethoxy-ethoxy)-ethoxy]-ethoxy}-ethoxy)-ethoxy]-ethoxy}-ethoxy)-ethanol, polyethyleneglycol peg400	873	CBR1	carbonyl reductase 1
2-[2-ethanesulfonylamino-3-(1h-indol-3-yl)-propionylamino]-pentanedioic acid 5-amide 1-(4-carbamim idoyl-benzylamide)	2155	F7	coagulation factor VII (serum prothrombin conversion accelerator)
2-[2-ethanesulfonylamino-3-(5-propoxy-1h-indol-3-yl)-propionylamino]-pentanedioic acid 5-amide 1-(4-carbamimidoyl-benzylamide)	2155	F7	coagulation factor VII (serum prothrombin conversion accelerator)
2-(2-hydroxy-1,1-dihydroxymethyl-ethylamino)-ethanesulfonic acid	716	C1S	complement component 1, s subcomponent
2-[(2-oxo-2-piperidin-1-ylethyl)thio]-6-(trifluoromethyl)pyrimidin-4(1h)-one	2167	FABP4	fatty acid binding protein 4, adipocyte
2-{3-[4-(4-fluorophenyl)-3,6-dihydro-1(2h)-pyridinyl]propyl}-8-methyl-4(3h)-quinazolinone	142	PARP1	poly (ADP-ribose) polymerase family, member 1
2-[3,4-dihydroxy-2-hydroxymethyl-5-(2-hydroxy-nonyl)-tetrahydro-furan-2-yloxy]-6-hydroxymethyl-tetra hydro-pyran-3,4,5-triol	5265	SERPINA1	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1
2,3,5,6-tetrafluoro-4-methoxy-benzamide	3958	LGALS3	lectin, galactoside-binding, soluble, 3 (galectin 3)
2-[3,5-dichloro-4-(2-{2-[2(2-mercaptoethoxy)ethoxy]ethoxy}ethoxy)phenylamino]benzoic acid	7276	TTR	transthyretin (prealbumin, amyloidosis type I)
2-(3-chloro-6-{[2,2-difluoro-2-(1-oxidopyridin-2-yl)ethyl]amino}-1-oxidopyridin-2-yl)-n-[1-(3-chlorophenyl)ethyl]acetamide	2147	F2	coagulation factor II (thrombin)
2'3'-dideoxyinosine	647088	NoName	NoDesc
2',3'-dideoxythymidine-5'-monophosphate	1841	DTYMK	deoxythymidylate kinase (thymidylate kinase)
2,3-dihydroxy-benzoic acid	3934	LCN2	lipocalin 2 (oncogene 24p3)
2,3,-dihydroxybenzoylserine	3934	LCN2	lipocalin 2 (oncogene 24p3)
2-[3-({methyl[1-(2-naphthoyl)piperidin-4-yl]amino}carbonyl)-2-naphthyl]-1-(1-naphthyl)-2-oxoethylphosphonic acid	1215	CMA1	chymase 1, mast cell
2-[3-({methyl[1-(2-naphthoyl)piperidin-4-yl]amino}carbonyl)-2-naphthyl]-1-(1-naphthyl)-2-oxoethylphosphonic acid	1511	CTSG	cathepsin G
2-{4-[(2s)-2-[({[(1s)-1-carboxy-2-phenylethyl]amino}carbonyl)amino]-3-oxo-3-(pentylamino)propyl]phenoxy}malonic acid	5770	PTPN1	protein tyrosine phosphatase, non-receptor type 1
2-[4-(4-hydroxy-3-isopropyl-phenoxy)-3,5-dimethyl-phenyl]-2h-[1,2,4]triazine-3,5-dione	7068	THRB	thyroid hormone receptor, beta (erythroblastic leukemia viral (v-erb-a) oncogene homolog 2, avian)
2,4,6-tribromophenol	7276	TTR	transthyretin (prealbumin, amyloidosis type I)
[2,4,6-triisopropyl-phenylsulfonyl-l-[3-amidino-phenylalanine]]-piperazine-n'-beta-alanine	5328	PLAU	plasminogen activator, urokinase
2-(4-chlorophenyl)-5-quinoxalinecarboxamide	142	PARP1	poly (ADP-ribose) polymerase family, member 1
2,4-diamino-5-methyl-6-[(3,4,5-trimethoxy-n-methylanilino)methyl]pyrido[2,3-d]pyrimidine	573971	NoName	NoDesc
2,4-diamino-6-[n-(3',4',5'-trimethoxybenzyl)-n-methylamino]pyrido[2,3-d]pyrimidine	573971	NoName	NoDesc
2-(4-morpholinyl)-8-phenyl-4h-1-benzopyran-4-one	9361	PRSS15	protease, serine, 15
2-{5-[3-(6-benzoyl-1-propylnaphthalen-2-yloxy)propoxy]indol-1-yl}ethanoic acid	5468	PPARG	peroxisome proliferative activated receptor, gamma
2,5-diaziridin-1-yl-3-(hydroxymethyl)-6-methylcyclohexa-2,5-diene-1,4-dione	1728	NQO1	NAD(P)H dehydrogenase, quinone 1
2,6-diamino-hexanoic acid amide	116	ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)
2,6-difluorobenzenesulfonamide	760	CA2	carbonic anhydrase II
2,6-dihydroanthra/1,9-cd/pyrazol-6-one	5602	MAPK10	mitogen-activated protein kinase 10
2-acetamido-2-deoxy-d-glucono-1,5-lactone	3074	HEXB	hexosaminidase B (beta polypeptide)
2-(acetylamino)-2-deoxy-6-o-methyl-alpha-d-allopyranose	1118	CHIT1	chitinase 1 (chitotriosidase)
2-(acetylamino)-2-deoxy-a-d-glucopyranose	1636	ACE	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1
2-(acetylamino)-2-deoxy-a-d-glucopyranose	2629	GBA	glucosidase, beta; acid (includes glucosylceramidase)
2-(acetylamino)-2-deoxy-a-d-glucopyranose	27036	SIGLEC7	sialic acid binding Ig-like lectin 7
2-(acetylamino)-2-deoxy-a-d-glucopyranose	3500	IGHG1	immunoglobulin heavy constant gamma 1 (G1m marker)
2-amino-3-hydroxy-3-phosphonooxy-propionic acid	410	ARSA	arylsulfatase A
2-amino-3-methyl-1-pyrrolidin-1-yl-butan-1-one	1803	DPP4	dipeptidylpeptidase 4 (CD26, adenosine deaminase complexing protein 2)
2-amino-3-oxo-4-sulfo-butyric acid	412	STS	steroid sulfatase (microsomal), arylsulfatase C, isozyme S
2-amino-5-hydroxy-benzimidazole	5328	PLAU	plasminogen activator, urokinase
[2-amino-6-(2,6-difluoro-benzoyl)-imidazo[1,2-a]pyridin-3-yl]-phenyl-methanone	1017	CDK2	cyclin-dependent kinase 2
2-amino-6-chloropyrazine	1017	CDK2	cyclin-dependent kinase 2
2-aminoethanimidic acid	1508	CTSB	cathepsin B
2-amino-n,3,3-trimethylbutanamide	4318	MMP9	matrix metalloproteinase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)
2-amino-pentanoic acid	5009	OTC	ornithine carbamoyltransferase
2-(biphenyl-4-sulfonyl)-1,2,3,4-tetrahydro-isoquinoline-3-carboxylic acid	4317	MMP8	matrix metalloproteinase 8 (neutrophil collagenase)
2-bromo-2-chloro-1,1,1-trifluoroethane	213	ALB	albumin
2-(carboxymethoxy)-5-[(2s)-2-({(2s)-2-[(3-carboxypropanoyl)amino] -3-phenylpropanoyl}amino)-3-oxo-3-(pentylamino)propyl]benzoic acid	5770	PTPN1	protein tyrosine phosphatase, non-receptor type 1
2-chlorophenol	1432	MAPK14	mitogen-activated protein kinase 14
2-deoxy-2,3-dehydro-n-acetyl-neuraminic acid	4550	MT-RNR2	mitochondrially encoded 16S RNA
2-deoxy-2,3-dehydro-n-acetyl-neuraminic acid	4759	NEU2	sialidase 2 (cytosolic sialidase)
2-deoxy-2-aminogalactose	3963	LGALS7	lectin, galactoside-binding, soluble, 7 (galectin 7)
2-deoxy-2-amino glucitol-6-phosphate	10007	GNPDA1	glucosamine-6-phosphate deaminase 1
2'-deoxycytidine	1633	DCK	deoxycytidine kinase
2'-deoxyuridine 3'-monophosphate	6038	RNASE4	ribonuclease, RNase A family, 4
(2e,3s)-3-hydroxy-5'-[(4-hydroxypiperidin-1-yl)sulfonyl]-3-methyl-1,3-dihydro-2,3'-biindol-2'(1'h)-one	1017	CDK2	cyclin-dependent kinase 2
2-{[formyl(hydroxy)amino]methyl}-4-methylpentanoic acid	4318	MMP9	matrix metalloproteinase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)
2h-1-benzopyran-2-one	1548	CYP2A6	cytochrome P450, family 2, subfamily A, polypeptide 6
2-hexyloxy-6-hydroxymethyl-tetrahydro-pyran-3,4,5-triol	28	ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)
2-hexyloxy-6-hydroxymethyl-tetrahydro-pyran-3,5-diol	28	ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)
2-hydroxy-3,5-diiodobenzoic acid	213	ALB	albumin
2-hydroxy-5-[4-(2-hydroxy-ethyl)-piperidin-1-yl]-5-phenyl-1h-pyrimidine-4,6-dione	4317	MMP8	matrix metalloproteinase 8 (neutrophil collagenase)
2-hydroxyethyl disulfide	2938	GSTA1	glutathione S-transferase A1
2-methyl-2,4-pentanediol	25870	SUMF2	sulfatase modifying factor 2
2-methyl-2,4-pentanediol	4846	NOS3	nitric oxide synthase 3 (endothelial cell)
2-methyl-2,4-pentanediol	5228	PGF	placental growth factor, vascular endothelial growth factor-related protein
2-methyl-2,4-pentanediol	5536	PPP5C	protein phosphatase 5, catalytic subunit
2-methyl-2,4-pentanediol	5770	PTPN1	protein tyrosine phosphatase, non-receptor type 1
2-methyl-2,4-pentanediol	5836	PYGL	phosphorylase, glycogen; liver (Hers disease, glycogen storage disease type VI)
2-methyl-2,4-pentanediol	5909	RAP1GA1	RAP1, GTPase activating protein 1
2-methyl-2,4-pentanediol	6403	SELP	selectin P (granule membrane protein 140kDa, antigen CD62)
2-methyl-2,4-pentanediol	808	CALM3	calmodulin 3 (phosphorylase kinase, delta)
2-methyl-2,4-pentanediol	8399	PLA2G10	phospholipase A2, group X
2-methyl-2,4-pentanediol	8644	AKR1C3	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)
2-methyl-2-propanol	10988	METAP2	methionyl aminopeptidase 2
2-methyl-2-propanol	808	CALM3	calmodulin 3 (phosphorylase kinase, delta)
2-methyl-propionic acid	6044	RNU108	RNA, U108 small nucleolar
2'-monophosphoadenosine 5'-diphosphoribose	1429	CRYZ	crystallin, zeta (quinone reductase)
2'-monophosphoadenosine 5'-diphosphoribose	1645	AKR1C1	aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)
2'-monophosphoadenosine 5'-diphosphoribose	1646	AKR1C2	aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)
2'-monophosphoadenosine 5'-diphosphoribose	1666	DECR1	2,4-dienoyl CoA reductase 1, mitochondrial
2'-monophosphoadenosine 5'-diphosphoribose	231	AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)
2'-monophosphoadenosine 5'-diphosphoribose	23530	NNT	nicotinamide nucleotide transhydrogenase
2'-monophosphoadenosine 5'-diphosphoribose	2539	G6PD	glucose-6-phosphate dehydrogenase
2'-monophosphoadenosine 5'-diphosphoribose	3156	HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
2'-monophosphoadenosine 5'-diphosphoribose	3290	HSD11B1	hydroxysteroid (11-beta) dehydrogenase 1
2'-monophosphoadenosine 5'-diphosphoribose	3292	HSD17B1	hydroxysteroid (17-beta) dehydrogenase 1
2'-monophosphoadenosine 5'-diphosphoribose	3417	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble
2'-monophosphoadenosine 5'-diphosphoribose	4522	MTHFD1	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase
2'-monophosphoadenosine 5'-diphosphoribose	51181	DCXR	dicarbonyl/L-xylulose reductase
2'-monophosphoadenosine 5'-diphosphoribose	573971	NoName	NoDesc
2'-monophosphoadenosine 5'-diphosphoribose	645	BLVRB	biliverdin reductase B (flavin reductase (NADPH))
2'-monophosphoadenosine 5'-diphosphoribose	6869	TACR1	tachykinin receptor 1
2'-monophosphoadenosine 5'-diphosphoribose	8644	AKR1C3	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)
2-(n-morpholino)-ethanesulfonic acid	1215	CMA1	chymase 1, mast cell
2-(n-morpholino)-ethanesulfonic acid	26013	L3MBTL	l(3)mbt-like (Drosophila)
2-(n-morpholino)-ethanesulfonic acid	2950	GSTP1	glutathione S-transferase pi
2-(n-morpholino)-ethanesulfonic acid	3290	HSD11B1	hydroxysteroid (11-beta) dehydrogenase 1
2-(n-morpholino)-ethanesulfonic acid	590	BCHE	butyrylcholinesterase
2-(oxalyl-amino)-4,5,6,7-tetrahydro-thieno[2,3-c]pyridine-3-carboxylic acid	5770	PTPN1	protein tyrosine phosphatase, non-receptor type 1
2-(oxalyl-amino)-4,7-dihydro-5h-thieno[2,3-c]pyran-3-carboxylic acid	5770	PTPN1	protein tyrosine phosphatase, non-receptor type 1
2-(oxalyl-amino)-4,7-dihydro-5h-thieno[2,3-c]thiopyran-3-carboxylic acid	5770	PTPN1	protein tyrosine phosphatase, non-receptor type 1
2-(oxalyl-amino)-benzoic acid	5770	PTPN1	protein tyrosine phosphatase, non-receptor type 1
2-oxyglutaric acid	55662	HIF1AN	hypoxia-inducible factor 1, alpha subunit inhibitor
2-phenyl-1-[4-(2-piperidin-1-yl-ethoxy)-phenyl]-1,2,3,4-tetrahydro-isoquinolin-6-ol	2099	ESR1	estrogen receptor 1
2-phenylheme	3162	HMOX1	heme oxygenase (decycling) 1
2-phosphoglycolic acid	5313	PKLR	pyruvate kinase, liver and RBC
2-propanol, isopropanol	4846	NOS3	nitric oxide synthase 3 (endothelial cell)
2-propanol, isopropanol	6364	CCL20	chemokine (C-C motif) ligand 20
2-propanol, isopropanol	6462	SHBG	sex hormone-binding globulin
2-propanol, isopropanol	7376	NR1H2	nuclear receptor subfamily 1, group H, member 2
(2r,3r,4s,5r)-2-acetamido-3,4-dihydroxy-5-hydroxymethyl-piperidinium	10242	KCNMB2	potassium large conductance calcium-activated channel, subfamily M, beta member 2
(2r,3r,4s,5r)-2-acetamido-3,4-dihydroxy-5-hydroxymethyl-piperidinium	3074	HEXB	hexosaminidase B (beta polypeptide)
[(2r,3s,4s,5r)-3,4,5-trihydroxytetrahydrofuran-2-yl]methyl dihydrogen phosphate	53343	NUDT9	nudix (nucleoside diphosphate linked moiety X)-type motif 9
(2r)-({4-[amino(imino)methyl]phenyl}amino){5-ethoxy-2-fluoro-3-[(3r)-tetrahydrofuran-3-yloxy]phenyl}aceticacid	2155	F7	coagulation factor VII (serum prothrombin conversion accelerator)
[2(r,s)-2-sulfanylheptanoyl]-phe-ala	4311	MME	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)
(2s,3r)-3-amino-2-hydroxy-5-(ethylsulfanyl)pentanoyl-((s)-(-)-(1-naphthyl)ethyl)amide	10988	METAP2	methionyl aminopeptidase 2
(2s,5r,8s,11r,12s,15s,18s,19s,e)-8-isobutyl-18-((5s,6s)-6-methoxy-3,5-dimethyl-7-phenylheptyl)-1,2,5,12,15,19-hexamethyl-3,6,9,13,16,20,25-heptaoxo-1,4,7,10,14,17,21-heptaazacyclopentacos-21-ene-11,22-dicarboxylic acid	5501	PPP1CC	protein phosphatase 1, catalytic subunit, gamma isoform
2-sulfhydryl-ethanol	2739	GLO1	glyoxalase I
2-sulfhydryl-ethanol	5265	SERPINA1	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1
2-sulfhydryl-ethanol	55163	PNPO	pyridoxine 5'-phosphate oxidase
2-thiomethyl-3-phenylpropanoic acid	4317	MMP8	matrix metalloproteinase 8 (neutrophil collagenase)
2-[trans-(4-aminocyclohexyl)amino]-6-(benzyl-amino)-9-cyclopentylpurine	1017	CDK2	cyclin-dependent kinase 2
3-[1-(3-aminopropyl)-1h-indol-3-yl]-4-(1-methyl-1h-indol-3-yl)-1h-pyrrole-2,5-dione	5170	PDPK1	3-phosphoinositide dependent protein kinase-1
3-({1-[3-carbamimidoyl-1-(4-carbamimidoyl-benzylcarbamoyl)-propylcarbamoyl]-2-methyl-butylsulfamoyl}-methyl)-benzoic acid	2155	F7	coagulation factor VII (serum prothrombin conversion accelerator)
[3-(1-benzyl-3-carbamoylmethyl-2-methyl-1h-indol-5-yloxy)-propyl-]-phosphonic acid	5320	PLA2G2A	phospholipase A2, group IIA (platelets, synovial fluid)
3-(1h-indol-3-yl)-2-[4-(4-phenyl-piperidin-1-yl)-benzenesulfonylamino]-propionic acid	4314	MMP3	matrix metalloproteinase 3 (stromelysin 1, progelatinase)
3-(2-aminoethyl)-4-(aminomethyl)heptanedioic acid	210	ALAD	aminolevulinate, delta-, dehydratase
3-[3-(2,3-dihydroxy-propylamino)-phenyl]-4-(5-fluoro-1-methyl-1h-indol-3-yl)-pyrrole-2,5-dione	2932	GSK3B	glycogen synthase kinase 3 beta
(3-{3-[[2-chloro-3-(trifluoromethyl)benzyl](2,2-diphenylethyl)amino]propoxy}phenyl)acetic acid	7376	NR1H2	nuclear receptor subfamily 1, group H, member 2
3,3',5,5'-tetraiodothyroacetic acid	7276	TTR	transthyretin (prealbumin, amyloidosis type I)
3-(3,5-dibromo-4-hydroxy-benzoyl)-2-ethyl-benzofuran-6-sulfonic acid (4-sulfamoyl-phenyl)-amide	5770	PTPN1	protein tyrosine phosphatase, non-receptor type 1
3-(3,5-dibromo-4-hydroxy-benzoyl)-2-ethyl-benzofuran-6-sulfonic acid [4-(thiazol-2-ylsulfamoyl)-phenyl]-amide	5770	PTPN1	protein tyrosine phosphatase, non-receptor type 1
3-(3,5-dibromo-4-hydroxy-benzoyl)-2-ethyl-benzofuran-6-sulfonic acid dimethylamide	5770	PTPN1	protein tyrosine phosphatase, non-receptor type 1
3-[4-(2,4-dimethyl-thiazol-5-yl)-pyrimidin-2-ylamino]-phenol	1017	CDK2	cyclin-dependent kinase 2
3-(4-amino-1-tert-butyl-1h-pyrazolo[3,4-d]pyrimidin-3-yl)phenol	873	CBR1	carbonyl reductase 1
[3-(4-bromo-2-fluoro-benzyl)-7-chloro-2,4-dioxo-3,4-dihydro-2h-quinazolin-1-yl]-acetic acid	231	AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)
3,4-dichloroisocoumarin	1675	DF	D component of complement (adipsin)
3,4-dihydroxy-1-methylquinolin-2(1h)-one	9361	PRSS15	protease, serine, 15
3-(4-fluorophenyl)-1-hydroxy-2-(pyridin-4-yl)-1h-pyrrolo[3,2-b]pyridine	1432	MAPK14	mitogen-activated protein kinase 14
3,4-methylenedioxymethamphetamine	6532	SLC6A4	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4
3,5,3',5'-tetrachloro-biphenyl-4,4'-diol	6783	SULT1E1	sulfotransferase family 1E, estrogen-preferring, member 1
3,5,6,8-tetramethyl-n-methyl phenanthrolinium	10988	METAP2	methionyl aminopeptidase 2
